Fitness Function,Crossover Type,Minimal Population,Average generations,Average execution time(s),Success,
Counting Ones,2X,1948,17.8,0.0133133,1,
Counting Ones,UX,20,20.3,0.0005459,1,
Deceptive Tightly Linked,2X,2780,21.2,0.02838479,1,
Deceptive Tightly Linked,UX,2050,521.6,0.8234493,1,
Non Deceptive Tightly Linked,2X,1800,19.3,0.0182269,1,
Non Deceptive Tightly Linked,UX,160,37.6,0.00678249,1,
Deceptive Non Tightly Linked,2X,10000,214.2,0.8727518,0,
Deceptive Non Tightly Linked,UX,2350,585.0,0.7226289,1,
Non Deceptive Non Tightly Linked,2X,7956,35.9,0.130837,1,
Non Deceptive Non Tightly Linked,UX,120,52.3,0.0053775,1,
